model,best_params,train_mse,test_mse,train_r2,test_r2
LinearRegression,{},0.31038968179911086,0.28111916236817835,0.6915262521457641,0.7115094082979001
Ridge,"{'alpha': 10.0, 'solver': 'svd'}",0.3104536940898909,0.2814147807242112,0.6914626349819101,0.7112060383186661
Lasso,"{'alpha': 0.1, 'selection': 'random'}",0.37595871560972477,0.349425325438467,0.6263619545263865,0.6414121398120209
ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.1}",0.32687010497178215,0.3011319588334979,0.6751475572328708,0.6909718417896014
RandomForest,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.023888373635184815,0.16861953806988939,0.9762590814788841,0.8269589667935651
GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.02631742636502035,0.13263461168830026,0.9738450224967531,0.8638874800145345
XGBRegressor,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 200}",0.03342873651178149,0.13419756197397872,0.9667776081406759,0.862283546476465
LGBMRegressor,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_samples': 20, 'min_split_gain': 0.01, 'n_estimators': 200, 'num_leaves': 20, 'reg_alpha': 0.1, 'reg_lambda': 0.01, 'subsample': 0.8}",0.05144396061334738,0.12741872545566452,0.9488735861228283,0.8692401357809643
SVR,"{'kernel': 'rbf', 'C': 31.72348496404067, 'epsilon': 0.08945058266848738, 'gamma': 0.004921155164830445}",0.07529069422892809,0.1661661950381002,0.9251740505911004,0.8294766407113683
